38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTP (Nilai Tukar Petani) menurut Provinsi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petani,,,,,,,,,,,,,Petani Tanaman Pangan,,,,,,,,,,,,,Petani Hortikultura,,,,,,,,,,,,,Petani Tanaman Perkebunan,,,,,,,,,,,,,Petani Peternakan,,,,,,,,,,,,,Nelayan,,,,,,,,,,,,,Pembudidayaan Ikan,,,,,,,,,,,,,Nelayan dan Pembudidayaan Ikan,,,,,,,,,,,,
,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,101.09,99.2,98.78,98.52,97.24,99.07,97.85,98.6,98.88,98.52,99.12,98.01,98.74,99.83,98.8,96.96,99.6,99.53,100.84,99.76,99.09,99.13,98.41,98.65,98.42,99.08,97.8,98.62,96.24,94.81,92.36,92.77,93.96,95.57,93.28,94.86,93.54,95.52,94.94,104.69,100.71,102.32,97.91,94.72,97.93,95.8,98.68,99.59,99.37,100.69,97.62,99.17,96.71,96.36,96.38,97.48,97.69,98.16,98.45,97.29,97.29,97.1,97.56,96.75,97.27,95.28,96.62,97.74,95.77,94.9,94.91,96.23,97.96,99.56,99.69,99.85,101.25,97.49,94.98,94.44,94.65,95.04,94.68,94.18,92.64,94.52,94.45,95.58,97.96,99.73,95.24,95.17,95.79,96.56,95.49,94.82,94.63,94.87,96.65,97.62,98.13,99.13,100.67,96.63
SUMATERA UTARA,113.69,111.71,109.41,106.41,104.5,105.13,106.84,108.53,110.44,112.01,114,115.21,109.83,98.23,98.1,96.95,96.44,96.92,97.56,96.95,96.9,96.87,96.61,96.38,94.98,96.9,99.27,101.48,100.95,99.83,97.18,95.25,95.15,93.38,95.01,96.55,95.07,98.27,97.28,132.09,127.74,123.69,118.18,113.73,114.67,118.63,122.8,126.77,129.93,134.63,137.47,125.05,99.18,97.9,97.42,95.63,97.25,98.6,99.38,99.24,99.02,99.77,100.53,100.88,98.74,100.9,98.91,98.26,96.34,96.47,98.28,99.99,100.6,101.19,100.86,100.89,101.51,99.52,97.24,96.58,96.03,96.21,95.75,94.48,94.05,94.54,94.61,94.12,93.56,94.42,95.13,100.12,98.41,97.79,96.31,96.31,97.47,98.72,99.3,99.78,99.42,99.32,100,98.58
SUMATERA BARAT,103.4,102.63,101.74,99.62,97.73,97.98,98.39,99.41,100.54,100.94,101.95,102.68,100.59,101.57,102.28,102.5,101.67,99.92,98.76,98.52,98.43,98.06,96.93,95.42,94.84,99.06,101.69,101.05,98.34,96.33,98.63,95.97,94.58,91.68,92.73,94.29,97.22,99.09,96.8,107.4,104.59,102.64,98.25,94.45,97.1,98.63,102.84,106.41,108.24,111.82,113.73,103.86,100.12,100.03,100.32,100.87,99.9,102.05,104.14,103.99,102.75,103.4,104.54,105.74,102.31,96.99,96.75,97.61,96.28,95.06,96.95,98.7,97.88,99.15,100.17,100.83,100.78,98.1,94.93,93.94,93.67,93.43,93.02,92.56,92.34,90.48,89.55,90.26,88.92,89.29,91.86,95.82,95.16,95.37,94.66,93.9,94.46,95.08,93.67,93.68,94.54,94.05,94.25,94.55
RIAU,123.93,117.9,113.76,115.64,111.74,109.66,113.57,116.88,120.94,123.61,127.32,130.34,118.79,95.16,94.81,92.34,93.47,92.84,93.05,94.13,93.61,93.68,93.64,93.15,92.94,93.57,99.96,100.03,98.79,97.53,93.91,93.57,95.29,93.02,92.87,93.71,92.99,95.13,95.56,129.63,122.44,117.66,119.99,115.34,112.68,117.24,121.54,126.38,129.64,134.19,137.84,123.73,97.95,96.58,96.6,95.36,97,99.25,99.83,97.54,99.06,98.04,98.74,97.51,97.79,99.85,98.52,97.81,98.75,99.75,99.25,99.43,99.48,100.09,100.35,100.37,100.21,99.49,95.78,94.8,94.22,94.03,93.27,93.61,93.7,94.14,94.31,94.43,94.53,95.58,94.37,98.89,97.64,96.96,97.63,98.21,97.91,98.07,98.21,98.72,98.95,98.98,99.11,98.27
JAMBI,110.47,107.07,104.85,102.16,98.55,101.15,103.57,106.89,110.28,112.68,115.75,117.83,107.62,101.27,101.22,101.47,101.8,100.49,99.91,99.92,100.63,100.62,100.08,99.73,98.68,100.48,102.8,105.69,101.89,98.03,94.08,96.65,99.63,98.32,100.79,103.99,102.67,105.99,100.88,113.03,108.5,105.86,102.71,98.52,101.73,104.54,108.83,113.03,115.98,120.06,122.65,109.63,98.11,97.13,97.53,96.28,97,97.58,99.2,98.21,97.78,96.87,97.43,97.32,97.54,107.25,106.73,106.74,105.73,105.66,105.61,106.49,107.63,107.64,108.75,109.33,110.11,107.31,99,98.62,98.99,97.91,97.06,97.79,98.75,99.06,99.73,99.06,98.69,98.16,98.57,105.36,104.87,104.96,103.93,103.68,103.81,104.71,105.66,105.82,106.53,106.89,107.37,105.3
SUMATERA SELATAN,100.64,96.85,94.13,91.21,88.56,89.99,91.72,94.17,96.49,98.4,100.41,101.83,95.37,103.32,102.27,101.73,99.79,98.04,98.03,97.65,97.54,98.02,96.41,94.06,92.52,98.27,95.16,93.48,91.58,90.9,89.66,90.42,91.7,90.64,91.26,91.41,90.93,91.9,91.58,99.98,95.06,91.44,88.07,84.81,86.68,89.1,92.76,95.89,99.23,102.8,105.23,94.26,102.03,101.33,100.58,98.58,100.82,103.8,105.24,103.19,102.8,100.66,101.72,102.52,101.94,101.92,99.95,101.35,99.6,98.83,99.04,100.6,99.72,100.83,99.71,100.39,102.33,100.36,93.52,93.55,93.22,91.56,92.19,92.77,94.67,94.58,95.01,94.22,94.01,93.6,93.57,98.34,97.22,97.88,96.17,96,96.37,98.08,97.54,98.36,97.37,97.68,98.61,97.47
BENGKULU,116.71,113.76,110.68,109.97,106.72,107.84,110.94,114.57,117.66,118.11,119.86,122.12,114.1,102.92,104.04,104.23,102.47,101.24,102.39,103.88,106.25,104.5,103.7,100.81,99.92,103.02,108.06,109.02,105.45,100.9,100.05,103.93,101.28,97.7,97.01,99.95,101.5,105.92,102.55,121.16,117.02,113.17,112.87,108.84,109.85,113.68,118.32,122.75,123.37,126.17,129.06,118.04,97.78,97.56,96.73,96.24,96.86,97.2,99.52,97.57,97.69,96.7,96.23,95.69,97.15,91.89,90.23,91.63,92.67,93.78,92.85,93.1,94.71,96.01,96.96,98.07,99.59,94.31,102.24,102.42,101.15,99.57,99.32,100.43,101.26,101.55,100.93,99.13,97.5,98.71,100.34,95.9,94.98,95.35,95.37,95.95,95.8,96.28,97.38,97.94,97.81,97.85,99.25,96.66
