38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTP (Nilai Tukar Petani) menurut Provinsi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petani,,,,,,,,,,,,,Petani Tanaman Pangan,,,,,,,,,,,,,Petani Hortikultura,,,,,,,,,,,,,Petani Tanaman Perkebunan,,,,,,,,,,,,,Petani Peternakan,,,,,,,,,,,,,Nelayan,,,,,,,,,,,,,Pembudidayaan Ikan,,,,,,,,,,,,,Nelayan dan Pembudidayaan Ikan,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,106.14,107.29,107.29,106.63,105.42,105.16,104.26,106.65,109.04,110.14,111.25,110.18,107.46,97.59,98.85,97.55,96.52,96.05,95.22,95.63,98.21,101.05,101.3,101.24,99.31,98.22,93.56,95.89,100.06,96.68,94.44,105.45,109.49,105.57,102.51,97.87,94.47,98.99,99.61,120.85,122.34,123.95,123.61,120.99,120.69,116.97,120.51,123.7,126.93,130.38,129.56,123.39,96.46,95.78,95.89,97.36,96.83,95.1,94.62,94.7,94.09,94.6,94.76,93.96,95.33,114.27,113.4,111.53,111.19,112.85,110.72,113.04,112.16,111.1,109.93,110.4,111.35,111.81,107.32,104.39,102.16,103.49,105.78,104.29,105.89,106.87,106.07,106.59,108.02,110.4,105.95,111.62,109.96,107.96,108.26,110.16,108.27,110.32,110.15,109.2,108.67,109.5,111,109.59
SUMATERA UTARA,126.75,125.83,128.65,130.38,116.4,117.31,108.85,117.8,119.33,121.12,124.37,124.56,121.73,97.79,97.18,96.16,95.68,95.73,94.35,93.44,95.14,95.32,95.43,95.05,94.02,95.43,89.23,89.06,93.04,91.6,92.56,100.79,101.22,97.34,93.62,90.11,87.54,91.64,93.16,162.14,160.97,166.85,171.01,139.39,141.29,123.4,142.95,147.22,151.96,159.99,160.24,152.19,103.07,101.47,102.03,103.55,104.26,101.75,100.17,100.23,99.67,99.26,99.22,98.82,101.1,110.3,109.26,110.19,109.65,110.18,109.53,109.81,110.31,107.05,107.68,107.29,108.55,109.13,93.86,94.78,95.14,96.48,96.39,97.51,96.81,97.03,97.12,96.85,97.48,97.91,96.47,106.72,106.11,106.93,106.79,107.18,106.92,106.99,107.41,104.9,105.34,105.17,106.27,106.38
SUMATERA BARAT,112.63,112.97,113.32,113.46,109.11,108.91,105.76,107.19,109.22,110.64,111.14,110.41,110.37,98.89,98.89,97.41,97.13,96.23,93.89,93.45,95.27,98.18,101.18,100.68,100.56,97.64,99.55,104.07,106.6,104.53,110.64,131.31,131.36,114.07,117.02,110.93,103.92,106.72,111.81,137.56,137.77,139.54,140.52,126.42,121.06,112.77,120.3,121.29,123.99,128.26,124.83,127.72,102.28,98.47,99.97,102.67,104.51,106.61,106.11,107.97,108.6,107.12,108.39,110.88,105.33,102.32,101.02,101,98.01,100.16,101.39,99.35,101.12,97.74,98.49,100.57,100.03,100.08,95.49,94.25,92.51,94.35,96.33,96.58,94.42,94.16,93.72,94.09,94.07,94.66,94.55,98.41,97.14,96.13,95.92,97.97,98.64,96.53,97.12,95.46,95.99,96.87,96.99,96.92
RIAU,149.9,153.64,159.11,159.22,136.03,133.68,118.4,133.35,139.27,143.86,151.97,152.94,144.19,91.44,91.24,90.79,90.46,90.11,89.45,88.54,89.61,89.42,89.67,89.92,90.6,90.09,95.17,93.76,93.29,96.1,95.12,103.62,106.71,105.05,104.03,100.66,97.7,100.37,99.35,161.2,165.91,172.61,172.62,144.39,141.26,122.68,140.85,148.27,153.99,164,164.96,154.29,101.69,100.32,100.26,100.1,102.2,101.73,100.61,99.85,97.81,97.21,96.45,97,99.58,105.68,105.68,105.7,105.29,105.42,103.2,103.27,104.81,102.86,104.05,104.23,104.21,104.52,97.15,98.07,98.08,98.83,99.65,99.24,98.34,98.1,99.36,98.93,99,98.84,98.64,103.65,103.86,103.88,103.75,104.04,102.25,102.09,103.2,102.03,102.84,102.98,102.94,103.12
JAMBI,139.1,140.12,142.38,143.87,131.5,127.31,119.74,129.58,133.23,136.29,137.94,140.63,135.08,99.27,99.12,97.38,95.44,95.25,95.07,94.14,98.03,100.31,103.75,102.81,102.96,98.63,93.2,98.09,102.24,97.57,97.35,114.83,122.58,116.15,114.76,107.3,101.34,105.46,105.99,150.65,151.71,154.61,157.04,141.06,134.54,124.4,136.93,141.5,145.51,148.19,151.31,144.7,100.28,98.42,98.75,100.25,101.71,100.04,99.5,99.82,98.05,97.06,97.45,97.68,99.08,113.9,113.47,112.61,114.61,114.71,112.18,111.18,111.68,110.04,111.11,110.43,111.18,112.24,101.32,101.79,102.04,102.87,103.41,103.34,103.31,103.76,103.85,104.51,104.22,104.26,103.23,111.01,110.79,110.19,111.92,112.13,110.17,109.4,109.88,108.65,109.62,109.03,109.62,110.19
SUMATERA SELATAN,114.45,114.79,115.51,115.72,110.29,110.37,105.75,105.91,99.31,101.34,99.8,100.33,107.7,89.33,89.17,89.15,87.4,86.89,85.39,84.15,86.94,86.29,88.06,88.29,88.74,87.47,88.96,89.65,92.85,90.86,91.93,100.41,102.81,100.86,97.35,94.64,92.25,92.31,94.62,124.24,124.8,125.69,126.56,118.96,119.14,112.85,112.21,103.12,105.63,103.49,104.14,114.93,103,101.47,102.18,103.89,104.71,107.48,107.64,107.37,106.54,105.24,103.75,102.66,104.68,109.34,111.17,113.03,110.28,107.45,107.7,109.59,112.16,112.05,111.11,113.06,113.85,110.92,96.13,96.37,93.85,96.8,96.05,94.19,94.27,97.57,98.5,97.22,97.59,97.37,96.33,103.67,104.81,104.79,104.49,102.55,101.88,102.99,105.89,106.27,105.2,106.48,106.83,104.67
BENGKULU,143,145.48,147.32,146.88,127.02,120.66,110.43,122.9,130.15,135.24,140.75,139.85,134.01,101.45,101.19,102.09,100.42,99.36,98.18,97.55,98.01,97.52,98.97,98.07,98.42,99.24,85.87,89.87,85.1,81.05,89.75,120.87,127.55,115.71,108.72,97.51,95.27,103.85,100.24,157.34,160.41,162.96,162.9,136.33,126.32,112.51,129.52,139.61,146.7,154.26,152.5,144.93,98.13,97.26,97.08,97.47,98.05,97.22,99.22,99.15,97.64,97.11,97.22,97.12,97.72,104.28,105.64,105.38,105.44,106.26,106.95,106.35,106.95,104.75,106.24,106.87,106.87,106.01,95.87,96.4,96.76,100.67,103.72,105.05,101.85,103.06,102.69,102.26,100.34,97.71,100.52,100.9,101.94,101.95,103.57,105.27,106.21,104.58,105.43,103.96,104.71,104.34,103.33,103.86
