38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTP (Nilai Tukar Petani) menurut Provinsi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petani,,,,,,,,,,,,,Petani Tanaman Pangan,,,,,,,,,,,,,Petani Hortikultura,,,,,,,,,,,,,Petani Tanaman Perkebunan,,,,,,,,,,,,,Petani Peternakan,,,,,,,,,,,,,Nelayan,,,,,,,,,,,,,Pembudidayaan Ikan,,,,,,,,,,,,,Nelayan dan Pembudidayaan Ikan,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,116.38,117.28,116.38,114.66,116.14,118.91,120.46,122.02,-,-,-,-,-,106.48,107.09,103.27,97.43,97.44,98.16,100.6,103.31,-,-,-,-,-,97.68,104.06,108.29,102.38,101.54,103.2,97.89,100.79,-,-,-,-,-,137.46,138.31,140.46,144.53,148.85,155.03,156.9,157.07,-,-,-,-,-,95.56,95.97,96.76,97.17,97.51,98.65,96.99,96.6,-,-,-,-,-,101.79,103.75,105.47,105.78,102.99,105.28,105.59,107.32,-,-,-,-,-,106.4,103.45,102.75,100.42,101.26,102.55,100.24,100.66,-,-,-,-,-,103.52,103.64,104.45,103.76,102.34,104.25,103.58,104.81,-,-,-,-,-
SUMATERA UTARA,129.16,130.56,132.67,133.32,132.12,133.22,134.23,136.68,-,-,-,-,-,101.76,102.55,101,99.48,98.69,99,99.62,100.84,-,-,-,-,-,90.86,95.23,100.04,96.05,99.5,102.27,94.44,91.53,-,-,-,-,-,166.37,168.2,172.85,175.81,173.1,174.94,178.75,184,-,-,-,-,-,95.37,95.08,94.91,96.24,96.11,95.97,95.01,95.03,-,-,-,-,-,104.78,102.83,103.87,104.18,102.72,100.09,99.47,98.95,-,-,-,-,-,95.31,94.94,94.52,95.4,95.72,95.79,95.51,95.72,-,-,-,-,-,102.74,101.14,101.87,102.3,101.22,99.17,98.62,98.26,-,-,-,-,-
SUMATERA BARAT,116.49,117.71,119.66,121.45,123.72,125.33,123.72,124.1,-,-,-,-,-,105.42,105.96,106.32,105.1,103.96,101.24,101.16,105,-,-,-,-,-,115.7,121.34,129.27,126.53,133.9,140.29,121.47,110.08,-,-,-,-,-,134.02,134.89,136.5,144.25,149.34,155.45,157.67,158.26,-,-,-,-,-,106.36,106.43,109.39,108.88,110.55,109.49,108.48,106.81,-,-,-,-,-,98.26,96.87,98.29,96.23,93.73,91.15,93.01,95.22,-,-,-,-,-,90.57,89.22,90.29,91.64,90.7,88.46,90.96,91.93,-,-,-,-,-,93.88,92.52,93.75,93.62,92.01,89.62,91.85,93.35,-,-,-,-,-
RIAU,156.59,157.79,164.08,168.62,167.5,168.55,172.96,175.65,-,-,-,-,-,98.31,97.3,97.92,95.24,94.79,94.51,94.04,94.1,-,-,-,-,-,105.12,106.62,112.65,107.83,105.85,108.58,104.01,104.3,-,-,-,-,-,168.85,170.32,177.57,183.46,182.25,183.32,189.07,192.36,-,-,-,-,-,93.82,94.12,95.15,95.98,95.59,97,94.84,93.92,-,-,-,-,-,104.68,103.44,103.12,103.02,103.56,103.77,103.72,104.01,-,-,-,-,-,100.57,99.78,100.65,100.73,100.2,100.42,99.46,99.96,-,-,-,-,-,103.71,102.58,102.54,102.48,102.77,102.98,102.71,103.04,-,-,-,-,-
JAMBI,142.21,145.3,149.49,153.21,151.74,155.21,155.46,157.4,-,-,-,-,-,109.33,109.23,106.76,102.92,101.74,98.93,100.43,104.42,-,-,-,-,-,116.7,129.87,141.21,138.57,142.05,151.23,138,141.15,-,-,-,-,-,152.06,155.11,159.99,165.41,163.48,167.74,168.82,170.48,-,-,-,-,-,91.19,90.76,91.96,94.2,93.38,93.81,92.72,93.07,-,-,-,-,-,102.6,101.93,101.57,102.88,102.01,99.97,100.6,101.26,-,-,-,-,-,99.79,100.36,101.6,103.6,102.82,101.94,102.04,101.46,-,-,-,-,-,101.98,101.59,101.58,103.04,102.18,100.4,100.92,101.3,-,-,-,-,-
SUMATERA SELATAN,109.33,111.88,115.2,116.28,117.98,122.4,124.18,123.7,-,-,-,-,-,102.31,103.21,100.21,93.84,93.59,95.78,98.19,99.5,-,-,-,-,-,94.86,97.92,98.56,93.04,91.72,94.28,90.4,91.72,-,-,-,-,-,112.62,115.82,121.43,125.26,127.78,133.18,135.14,134.01,-,-,-,-,-,97.71,98.42,99.03,98.68,99.52,102.16,100.65,100.25,-,-,-,-,-,119.74,118.91,118.16,117.53,117.35,116.62,116.39,116.06,-,-,-,-,-,95.15,94.96,94.93,94.12,95.06,94.15,95.01,95.08,-,-,-,-,-,109.12,108.55,108.07,107.35,107.67,106.86,107.11,106.94,-,-,-,-,-
BENGKULU,160.12,162.96,168.42,175.63,175.06,181.17,187.47,185.19,-,-,-,-,-,114.73,115.52,117.68,115.9,113.2,111.06,110.06,110.09,-,-,-,-,-,118.72,130.14,127.47,118.59,125.46,135.8,118.59,109.1,-,-,-,-,-,175.17,178.02,184.81,195.07,194.42,202.16,211.72,209.35,-,-,-,-,-,95.57,95.61,96.78,97.49,97.54,100.43,100,99.43,-,-,-,-,-,101.22,102.83,105.04,106.53,107.94,107.08,106.15,107.7,-,-,-,-,-,99.62,99.1,102.41,104.35,103.72,102.64,102.71,101.87,-,-,-,-,-,100.62,101.43,104.06,105.73,106.38,105.44,104.88,105.51,-,-,-,-,-
