38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTP (Nilai Tukar Petani) menurut Provinsi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petani,,,,,,,,,,,,,Petani Tanaman Pangan,,,,,,,,,,,,,Petani Hortikultura,,,,,,,,,,,,,Petani Tanaman Perkebunan,,,,,,,,,,,,,Petani Peternakan,,,,,,,,,,,,,Nelayan,,,,,,,,,,,,,Pembudidayaan Ikan,,,,,,,,,,,,,Nelayan dan Pembudidayaan Ikan,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,111.27,112.36,113.07,113.73,112.27,111.96,113.62,115.36,118.03,117.51,116.75,116.08,114.35,101.59,103.81,101.44,102.16,101.35,101.3,102.91,104.1,109.22,109.24,107.04,105.92,104.19,101.68,99.36,96.48,92.96,89.44,93.6,97.57,100.35,102.91,100.05,109.06,106.09,99.16,129.07,129.3,134.49,135.53,133,131.57,133.5,136.48,136.71,135.37,135.67,136.06,133.91,93.16,92.94,95.65,96.85,97.23,98.24,98,97.1,96.5,97.11,96.29,96.04,96.26,112.69,112.08,112.08,112.28,110.87,109.58,110.11,110.2,109.42,109.87,107.31,104.42,110.06,111.47,112.22,113.2,112.37,112.57,113.94,113.89,115.55,111.97,112.64,111.9,108.92,112.55,112.23,112.14,112.5,112.32,111.51,111.22,111.53,112.22,110.38,110.91,109.04,106.11,111
SUMATERA UTARA,123.78,125.34,127.4,126.42,123.51,122.19,122.33,122.99,126.2,126.79,127.81,129.04,125.32,95.28,97.13,97.85,98.16,98.44,97.75,97.89,98.38,101.15,101.51,100.35,101.32,98.78,91.55,89.66,86.67,83.66,83.6,86.66,87.98,89.42,90.01,87.71,92.61,90.77,88.36,157.83,160.86,165.25,163.9,156.73,153.33,153.62,154.75,160.07,161.72,164.12,166.53,159.9,98.24,96.47,97.68,96.07,98.14,99.24,97.96,96.94,96.13,95.78,94.38,94.66,96.8,108.91,108.87,109.23,109.53,109.52,109.26,108.73,108.25,107.79,107.81,106.64,105.74,108.35,97.14,96.8,96.97,98.22,98.82,98.64,97.95,97.17,97.2,96.48,96,96.17,97.29,106.39,106.29,106.6,107.1,107.21,106.97,106.41,105.86,105.51,105.37,104.36,103.69,105.97
SUMATERA BARAT,111.8,111.47,109.87,107.41,107.09,107.55,107.94,108.96,110.82,111.62,113.32,115.36,110.28,101.28,99.67,97.67,95.85,97.24,97.33,94.74,97.11,102.57,105.54,104.61,104.02,99.82,111.76,110.76,104.56,96.76,92.19,102.47,109.45,106.81,100.89,95.47,109.93,121.73,105.25,126.17,128.09,127.94,125.84,124.28,121.51,123.22,124.35,125.36,126.49,127.96,130.3,125.97,110.13,107.48,109.01,108.87,111.61,113.2,114.34,113.57,111.52,108.62,106.54,107.06,110.16,100.32,102.25,102.48,104.86,105.4,104.96,104.32,104.4,104.84,101.88,98.2,95.88,102.46,96.8,97.75,97.42,100.61,100.3,100.01,99.76,96.66,94.11,92.86,90.7,91.17,96.49,98.33,99.69,99.61,102.44,102.49,102.14,101.73,100,98.74,96.76,93.94,93.2,99.06
RIAU,151.91,154.52,161.24,157.34,151.69,145.32,148.31,150.46,151.26,152.5,154.33,156.29,152.93,90.67,92.49,92.47,91.83,92.58,92.42,92.68,92.82,95.16,96.51,97.78,98.54,93.84,100.24,101.79,102.02,100.17,98.29,97.51,98.16,98.21,100.14,99.3,104.67,104.04,100.39,163.76,166.82,174.92,170.27,163.36,155.53,159.24,161.96,162.76,164.17,166.13,168.55,164.79,95.91,94.38,95.13,95.44,97.03,99.22,97.27,95.82,94.65,95,94.32,93.56,95.64,105.06,104.99,105.13,105.77,105.66,105.66,105.56,104.99,104.92,105.84,104.44,104.19,105.18,98.82,99.43,99.8,102.48,102.31,102.7,103.49,101.76,101.58,101.27,101.15,101.6,101.37,103.58,103.68,103.87,104.99,104.87,104.96,105.07,104.23,104.14,104.76,103.67,103.58,104.28
JAMBI,140.83,139.74,144.36,142.71,136.91,132.55,133.79,134.38,136.32,137.31,138.72,139.77,138.11,101.9,102.52,102.81,103.94,103.57,103.18,102.01,101.45,105.63,110.72,107.6,106.3,104.32,111.73,114.01,113.65,105.22,99.96,105.07,112.58,113.97,114.07,111.79,119.8,126.57,112.41,151.36,149.74,155.63,153.97,146.88,140.96,142.27,143.07,144.96,145.75,147.56,148.67,147.55,95.73,94.96,96.16,95.61,96.73,97.4,95.55,94.51,94.57,92.77,90.92,90.47,94.59,110.69,110.12,110.27,111.11,110.98,109.13,107.96,107.6,107.05,106.38,104.39,102.31,108.13,104.17,103.93,104.68,104.64,105.28,104.27,103.97,103.85,102.55,102.35,101.54,99.71,103.4,109.22,108.73,109.01,109.65,109.69,108.03,107.06,106.75,106.04,105.47,103.75,101.73,107.07
SUMATERA SELATAN,99.97,102.38,103.61,105.17,103.03,103.6,105.62,104.23,105.97,108.05,109.62,109.52,105.1,89.08,91.66,92.54,93.25,93.97,93.83,93.26,94.42,99.12,101.37,101.53,102.02,95.54,93.23,93.39,96.33,93.83,91.73,93.44,95.42,95.11,95.57,98.25,104.77,102.39,96.16,103.49,106.13,107.46,109.45,106.21,106.9,109.92,107.65,108.63,110.84,112.84,112.65,108.55,101.95,100.85,100.99,102.66,103.56,105.03,104.52,103.09,102.46,101.01,99.66,98.8,102.04,116.2,115.89,117.54,118.98,120.22,121.74,121.52,121.11,120.51,119.86,119.44,119.76,119.41,96.8,97.4,98.04,98.4,98.1,98.93,98.64,98.11,97.12,95.97,94.98,94.99,97.28,107.91,107.99,109.2,110.16,110.75,111.96,111.69,111.22,110.45,109.58,108.89,109.07,109.91
BENGKULU,139.58,141.38,144.32,142.21,138.8,142.14,143.73,147.15,152.65,154.28,157.42,158.41,146.91,100.29,99.41,100.56,101.17,103.57,103.19,101.22,102.99,107.73,111.07,111.14,113.5,104.69,102.94,99.04,93.61,89.12,92.18,107.73,114.15,114.3,111.26,107.13,118.09,135,107.13,151.91,154.73,158.66,155.95,150.74,154.17,156.25,160.42,166.94,168.66,172.25,172.13,160.31,96.16,95.01,95.41,96.98,98.47,99.98,99.28,98.58,97.6,97.58,96.19,95.46,97.23,105.71,106.12,107.45,108.39,108.33,110.33,112.8,112.4,110.75,111.38,107.33,104.12,108.76,97.99,97.6,97.61,101.2,102.39,102.7,102.92,103.37,102.73,103.24,100.27,101.5,101.1,102.73,102.82,103.63,105.62,106.06,107.43,109.05,108.98,107.74,108.33,104.68,103.13,105.84
